,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,0.266,0.06,0.05,0.052,0.046,-0.016,-0.575,0.0,0.0,0.0,-3.044,-4.463,-3.303,0.178,0.022,-0.1,0.033,-0.011,-0.045
VIESDTC_20230216002023030300T.scan,2,48,0.416,0.116,0.088,0.105,0.082,-0.025,-1.116,0.0,0.0,0.0,-5.978,-7.777,-5.227,0.269,0.04,-0.107,0.125,-0.007,-0.035
VIESDTC_20230216002023030300T.scan,3,72,0.538,0.152,0.112,0.139,0.106,-0.152,-1.453,0.0,0.0,0.0,-7.843,-9.819,-7.486,0.402,0.105,-0.115,0.148,-0.004,-0.031
VIESDTC_20230216002023030300T.scan,4,96,0.641,0.226,0.11,0.212,0.103,-0.282,-1.635,0.0,0.0,0.0,-8.571,-10.506,-8.89,0.38,0.034,-0.163,0.163,-0.025,-0.004
VIESDTC_20230216002023030300T.scan,5,120,0.713,0.276,0.073,0.259,0.066,-0.414,-1.719,0.0,0.0,0.0,-8.955,-11.165,-10.58,0.296,-0.104,-0.251,0.137,-0.031,-0.032
VIESDTC_20230216002023030300T.scan,6,144,0.718,0.249,0.006,0.233,-0.002,-0.502,-1.688,0.0,0.0,0.0,-8.585,-11.427,-12.553,0.31,-0.087,-0.233,0.135,-0.072,-0.116
VIESDTC_20230216002023030300T.scan,7,168,0.72,0.215,-0.061,0.198,-0.069,-0.484,-1.714,0.0,0.0,0.0,-8.683,-12.502,-14.083,0.395,-0.003,-0.121,0.11,-0.078,-0.21
VIESDTC_20230216002023030300T.scan,8,192,0.714,0.203,-0.071,0.184,-0.08,-0.445,-1.796,0.0,0.0,0.0,-9.052,-13.246,-14.55,0.472,0.066,-0.051,0.087,-0.074,-0.18
VIESDTC_20230216002023030300T.scan,9,216,0.655,0.158,-0.011,0.141,-0.021,-0.391,-1.888,0.0,0.0,0.0,-9.879,-13.722,-12.927,0.459,0.088,-0.059,0.073,-0.05,-0.129
VIESDTC_20230216002023030300T.scan,10,240,0.59,0.103,0.04,0.085,0.03,-0.304,-1.963,0.0,0.0,0.0,-10.796,-14.243,-11.838,0.51,0.025,-0.268,0.11,-0.045,-0.069
VIESDTC_20230216002023030300T.scan,11,264,0.582,0.07,0.038,0.051,0.029,-0.328,-1.984,0.0,0.0,0.0,-10.751,-14.145,-11.764,0.55,0.06,-0.275,0.151,-0.039,-0.087
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,2.566,2.114,1.057,2.104,1.055,1.179,3.346,0.001,0.001,0.0,25.068,26.126,27.532,2.91,3.157,3.662,2.784,3.052,3.691
RMSEDTC_20230216002023030300T.scan,2,48,3.631,3.129,1.824,3.104,1.817,1.827,5.015,0.001,0.001,0.0,35.086,37.504,41.68,4.112,4.678,5.568,4.031,4.64,5.684
RMSEDTC_20230216002023030300T.scan,3,72,4.386,3.926,2.544,3.885,2.532,2.481,6.519,0.001,0.001,0.0,45.452,52.932,61.072,5.12,6.242,7.609,5.104,6.306,7.801
RMSEDTC_20230216002023030300T.scan,4,96,4.917,4.492,3.096,4.438,3.081,3.033,7.799,0.001,0.001,0.0,55.417,66.847,78.959,6.051,7.609,9.487,6.095,7.757,9.825
RMSEDTC_20230216002023030300T.scan,5,120,5.336,4.939,3.536,4.872,3.518,3.465,8.674,0.001,0.001,0.001,62.299,78.906,95.608,6.834,8.781,11.171,6.728,8.942,11.749
RMSEDTC_20230216002023030300T.scan,6,144,5.627,5.321,4.081,5.243,4.058,3.88,9.669,0.001,0.001,0.001,70.909,93.532,117.059,7.261,9.729,12.813,7.537,10.298,13.617
RMSEDTC_20230216002023030300T.scan,7,168,5.918,5.672,4.682,5.584,4.655,4.199,10.919,0.002,0.002,0.001,81.801,108.708,138.066,7.882,10.633,14.111,8.069,11.092,14.733
RMSEDTC_20230216002023030300T.scan,8,192,6.21,6.09,5.143,5.99,5.113,4.474,12.151,0.002,0.002,0.001,92.382,124.116,160.527,8.407,11.613,15.92,8.474,11.703,15.811
RMSEDTC_20230216002023030300T.scan,9,216,6.349,6.281,5.41,6.177,5.378,4.73,12.914,0.002,0.002,0.001,99.374,135.954,175.443,8.905,12.374,16.787,8.785,12.433,16.805
RMSEDTC_20230216002023030300T.scan,10,240,6.353,6.297,5.606,6.194,5.574,4.944,13.452,0.002,0.002,0.001,103.749,142.314,183.946,9.177,12.878,17.802,9.128,12.838,17.48
RMSEDTC_20230216002023030300T.scan,11,264,6.44,6.369,5.703,6.267,5.672,5.074,13.444,0.002,0.002,0.001,103.53,143.486,186.12,9.199,13.001,18.044,9.022,12.973,17.774
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.987,0.99,0.996,0.989,0.996,0.985,0.999,0.982,0.966,0.929,0.984,0.997,0.998,0.935,0.968,0.982,0.935,0.966,0.975
ACORDTC_20230216002023030300T.scan,2,48,0.973,0.977,0.988,0.977,0.988,0.963,0.998,0.959,0.916,0.829,0.972,0.993,0.996,0.874,0.929,0.959,0.867,0.921,0.941
ACORDTC_20230216002023030300T.scan,3,72,0.959,0.963,0.976,0.962,0.976,0.93,0.996,0.937,0.874,0.737,0.955,0.986,0.992,0.805,0.874,0.923,0.785,0.852,0.886
ACORDTC_20230216002023030300T.scan,4,96,0.949,0.951,0.964,0.95,0.965,0.893,0.995,0.917,0.842,0.662,0.931,0.977,0.986,0.726,0.814,0.88,0.695,0.775,0.814
ACORDTC_20230216002023030300T.scan,5,120,0.939,0.94,0.953,0.939,0.953,0.858,0.993,0.897,0.814,0.574,0.906,0.967,0.979,0.646,0.751,0.833,0.616,0.696,0.73
ACORDTC_20230216002023030300T.scan,6,144,0.931,0.928,0.936,0.927,0.936,0.817,0.992,0.878,0.789,0.497,0.873,0.952,0.968,0.583,0.686,0.78,0.507,0.585,0.631
ACORDTC_20230216002023030300T.scan,7,168,0.922,0.916,0.915,0.915,0.915,0.78,0.989,0.857,0.765,0.445,0.829,0.934,0.955,0.508,0.62,0.733,0.423,0.502,0.556
ACORDTC_20230216002023030300T.scan,8,192,0.912,0.901,0.897,0.9,0.897,0.744,0.987,0.837,0.744,0.398,0.783,0.914,0.939,0.445,0.542,0.657,0.357,0.439,0.485
ACORDTC_20230216002023030300T.scan,9,216,0.906,0.892,0.885,0.891,0.885,0.707,0.985,0.83,0.735,0.369,0.749,0.896,0.927,0.389,0.476,0.614,0.315,0.371,0.43
ACORDTC_20230216002023030300T.scan,10,240,0.907,0.892,0.875,0.891,0.875,0.67,0.984,0.825,0.728,0.335,0.724,0.885,0.918,0.344,0.424,0.56,0.267,0.331,0.382
ACORDTC_20230216002023030300T.scan,11,264,0.903,0.889,0.869,0.887,0.87,0.647,0.984,0.823,0.726,0.335,0.71,0.88,0.915,0.326,0.396,0.536,0.276,0.308,0.342
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,0.149,-0.074,0.232,-0.083,0.226,0.123,-0.663,0.0,0.0,0.0,-3.965,-4.191,0.672,0.176,0.005,-0.19,0.073,-0.049,-0.066
