,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.322,-0.369,-0.012,-0.377,-0.017,-0.142,0.055,0.0,0.0,0.0,-0.023,-2.513,-3.048,-0.055,-0.03,-0.082,0.006,0.006,-0.063
VIESDTC_20230216002023030300T.scan,2,48,-0.506,-0.625,-0.051,-0.641,-0.058,-0.276,0.145,0.0,0.0,0.0,0.362,-4.166,-4.881,-0.06,0.014,-0.09,0.004,-0.012,-0.035
VIESDTC_20230216002023030300T.scan,3,72,-0.637,-0.796,-0.112,-0.821,-0.122,-0.43,0.266,0.0,0.0,0.0,1.009,-5.545,-7.416,-0.027,0.06,-0.081,0.037,-0.02,-0.042
VIESDTC_20230216002023030300T.scan,4,96,-0.784,-0.971,-0.204,-0.999,-0.216,-0.628,0.346,0.0,0.0,0.0,1.308,-7.231,-11.384,-0.09,0.126,-0.048,0.01,-0.011,-0.063
VIESDTC_20230216002023030300T.scan,5,120,-0.848,-1.07,-0.313,-1.103,-0.327,-0.815,0.334,0.0,0.0,0.0,0.947,-9.588,-16.501,0.008,0.264,0.084,0.036,0.035,0.003
VIESDTC_20230216002023030300T.scan,6,144,-0.907,-1.175,-0.457,-1.213,-0.471,-0.955,0.197,0.0,0.0,0.0,-0.439,-13.259,-22.91,0.127,0.433,0.221,0.074,0.073,0.054
VIESDTC_20230216002023030300T.scan,7,168,-0.965,-1.292,-0.594,-1.333,-0.608,-1.011,0.04,0.0,0.0,0.0,-2.267,-17.566,-29.128,0.259,0.571,0.372,0.102,0.083,0.067
VIESDTC_20230216002023030300T.scan,8,192,-1.062,-1.456,-0.723,-1.498,-0.736,-1.072,-0.156,0.0,0.0,0.0,-4.166,-21.901,-35.208,0.312,0.636,0.491,0.062,0.086,0.113
VIESDTC_20230216002023030300T.scan,9,216,-1.161,-1.581,-0.871,-1.622,-0.882,-1.162,-0.239,0.0,0.0,0.0,-4.936,-24.923,-40.144,0.309,0.668,0.502,0.03,0.065,0.092
VIESDTC_20230216002023030300T.scan,10,240,-1.24,-1.676,-0.997,-1.716,-1.009,-1.212,-0.292,0.0,0.0,0.0,-5.071,-27.057,-43.745,0.296,0.694,0.606,0.062,0.043,0.057
VIESDTC_20230216002023030300T.scan,11,264,-1.259,-1.697,-1.078,-1.735,-1.089,-1.28,-0.276,0.0,0.0,0.0,-4.942,-28.197,-45.858,0.345,0.742,0.677,0.003,0.04,0.028
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.538,1.604,0.942,1.605,0.941,1.249,2.142,0.001,0.001,0.0,18.58,21.558,26.363,2.222,2.628,3.833,2.175,2.684,4.032
RMSEDTC_20230216002023030300T.scan,2,48,2.189,2.343,1.559,2.327,1.55,1.955,3.357,0.001,0.001,0.001,27.938,33.682,43.195,3.537,4.046,5.978,3.487,4.218,6.373
RMSEDTC_20230216002023030300T.scan,3,72,2.714,2.936,2.133,2.894,2.116,2.536,4.433,0.001,0.002,0.001,36.097,46.531,63.022,4.671,5.352,8.037,4.488,5.624,8.66
RMSEDTC_20230216002023030300T.scan,4,96,3.221,3.517,2.741,3.456,2.718,3.073,5.793,0.001,0.002,0.001,46.774,62.453,85.629,5.655,6.762,10.174,5.517,7.099,11.078
RMSEDTC_20230216002023030300T.scan,5,120,3.677,4.047,3.393,3.962,3.362,3.575,6.945,0.002,0.002,0.001,56.115,79.868,110.099,6.254,8.043,12.191,6.42,8.84,13.632
RMSEDTC_20230216002023030300T.scan,6,144,4.014,4.524,3.929,4.419,3.893,3.938,8.052,0.002,0.002,0.001,65.314,95.597,132.614,6.877,9.02,13.631,7.058,10.124,15.53
RMSEDTC_20230216002023030300T.scan,7,168,4.393,4.988,4.335,4.869,4.297,4.188,8.967,0.002,0.002,0.001,73.207,107.991,149.578,7.38,9.851,14.668,7.557,10.986,16.836
RMSEDTC_20230216002023030300T.scan,8,192,4.609,5.276,4.672,5.144,4.631,4.335,9.922,0.002,0.002,0.001,80.847,119.793,165.666,7.936,10.693,15.909,8.032,11.538,17.722
RMSEDTC_20230216002023030300T.scan,9,216,4.776,5.513,5.015,5.366,4.969,4.558,10.825,0.002,0.002,0.001,88.179,131.633,181.848,8.433,11.501,17.085,8.482,12.236,18.739
RMSEDTC_20230216002023030300T.scan,10,240,4.944,5.687,5.216,5.532,5.168,4.639,11.511,0.002,0.002,0.001,93.715,139.508,193.216,8.692,11.881,17.651,8.765,12.696,19.5
RMSEDTC_20230216002023030300T.scan,11,264,5.123,5.866,5.263,5.71,5.216,4.747,11.803,0.002,0.002,0.001,96.378,144.252,198.403,8.836,12.154,17.965,8.872,12.792,19.246
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.994,0.994,0.996,0.994,0.996,0.97,1.0,0.99,0.98,0.944,0.995,0.998,0.999,0.975,0.978,0.975,0.949,0.959,0.962
