,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.146,-0.161,-0.077,-0.166,-0.086,-0.225,0.129,0.0,0.0,0.0,0.31,-1.867,-6.795,-0.266,-0.024,-0.05,-0.102,0.108,-0.184
VIESDTC_20230216002023030300T.scan,2,48,-0.255,-0.294,-0.046,-0.306,-0.057,-0.274,0.164,0.0,0.0,0.0,0.266,-2.899,-8.463,-0.458,-0.175,0.013,-0.11,-0.07,-0.058
VIESDTC_20230216002023030300T.scan,3,72,-0.311,-0.346,-0.038,-0.366,-0.05,-0.338,0.146,0.0,0.0,0.0,-0.114,-3.904,-10.383,-0.614,-0.312,0.07,-0.03,-0.032,-0.319
VIESDTC_20230216002023030300T.scan,4,96,-0.35,-0.376,-0.017,-0.4,-0.03,-0.409,0.098,0.0,0.0,0.0,-0.728,-4.729,-12.046,-0.699,-0.487,0.116,-0.101,0.11,-0.45
VIESDTC_20230216002023030300T.scan,5,120,-0.393,-0.409,-0.022,-0.436,-0.037,-0.469,0.083,0.0,0.0,0.0,-0.965,-5.087,-13.262,-0.745,-0.648,0.242,-0.095,0.151,-0.673
VIESDTC_20230216002023030300T.scan,6,144,-0.417,-0.429,-0.049,-0.455,-0.064,-0.523,0.09,-0.0,0.0,0.0,-0.971,-5.311,-14.404,-0.824,-0.767,0.299,-0.064,0.075,-0.455
VIESDTC_20230216002023030300T.scan,7,168,-0.457,-0.473,-0.07,-0.501,-0.084,-0.551,0.081,-0.0,0.0,0.0,-1.178,-5.79,-15.351,-0.765,-0.864,0.388,-0.03,0.107,-0.429
VIESDTC_20230216002023030300T.scan,8,192,-0.495,-0.505,-0.109,-0.532,-0.123,-0.579,0.072,-0.0,0.0,0.0,-1.425,-6.274,-16.312,-0.858,-0.972,0.346,-0.041,0.139,-0.426
VIESDTC_20230216002023030300T.scan,9,216,-0.509,-0.527,-0.123,-0.557,-0.142,-0.623,0.066,-0.0,0.0,0.0,-1.567,-6.355,-17.02,-0.872,-1.149,0.249,0.03,0.149,-0.354
VIESDTC_20230216002023030300T.scan,10,240,-0.52,-0.53,-0.158,-0.563,-0.18,-0.664,0.118,-0.0,0.0,0.0,-1.164,-6.083,-17.567,-0.874,-1.23,0.181,0.004,0.187,-0.396
VIESDTC_20230216002023030300T.scan,11,264,-0.558,-0.548,-0.204,-0.581,-0.225,-0.679,0.172,-0.0,0.0,0.0,-0.856,-6.171,-18.333,-0.959,-1.374,0.233,0.009,0.174,-0.325
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,0.611,0.609,0.497,0.659,0.507,0.707,1.827,0.001,0.001,0.0,17.448,18.031,21.334,2.417,1.432,3.141,2.204,1.366,3.159
RMSEDTC_20230216002023030300T.scan,2,48,0.914,0.967,0.689,1.05,0.71,0.882,2.009,0.001,0.001,0.001,18.515,18.786,22.918,3.94,2.333,4.696,3.571,2.048,4.46
RMSEDTC_20230216002023030300T.scan,3,72,1.086,1.147,0.826,1.246,0.852,0.996,2.164,0.001,0.001,0.001,19.706,20.159,25.155,4.754,3.01,5.798,4.229,2.569,5.422
RMSEDTC_20230216002023030300T.scan,4,96,1.193,1.267,0.951,1.37,0.98,1.088,2.331,0.001,0.002,0.001,21.124,21.755,27.417,5.194,3.643,6.533,4.615,2.994,6.236
RMSEDTC_20230216002023030300T.scan,5,120,1.312,1.391,1.038,1.496,1.07,1.152,2.357,0.002,0.002,0.001,21.197,21.886,28.913,5.5,4.103,7.142,4.894,3.343,6.792
RMSEDTC_20230216002023030300T.scan,6,144,1.427,1.509,1.132,1.612,1.169,1.189,2.354,0.002,0.002,0.001,20.997,21.645,30.145,5.854,4.516,7.727,5.142,3.601,7.031
RMSEDTC_20230216002023030300T.scan,7,168,1.513,1.624,1.199,1.726,1.241,1.237,2.375,0.002,0.002,0.001,21.029,21.795,30.896,6.124,4.822,8.164,5.285,3.85,7.142
RMSEDTC_20230216002023030300T.scan,8,192,1.587,1.705,1.276,1.798,1.319,1.323,2.388,0.002,0.002,0.001,21.141,22.441,32.914,6.301,5.22,8.594,5.411,4.088,7.442
RMSEDTC_20230216002023030300T.scan,9,216,1.635,1.786,1.332,1.879,1.376,1.415,2.474,0.002,0.002,0.001,21.806,23.098,34.5,6.451,5.657,9.189,5.474,4.291,7.899
RMSEDTC_20230216002023030300T.scan,10,240,1.697,1.862,1.381,1.957,1.427,1.529,2.61,0.002,0.002,0.001,22.725,23.504,36.097,6.57,5.948,9.972,5.518,4.449,8.439
RMSEDTC_20230216002023030300T.scan,11,264,1.807,1.943,1.436,2.04,1.486,1.59,2.721,0.002,0.002,0.001,23.553,24.43,38.021,6.702,6.264,10.749,5.572,4.619,8.82
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.98,0.978,0.963,0.975,0.961,0.936,0.999,0.976,0.975,0.977,0.714,0.732,0.92,0.93,0.978,0.972,0.889,0.936,0.913
ACORDTC_20230216002023030300T.scan,2,48,0.955,0.945,0.923,0.936,0.918,0.897,0.999,0.938,0.923,0.923,0.699,0.724,0.909,0.816,0.941,0.935,0.71,0.853,0.82
ACORDTC_20230216002023030300T.scan,3,72,0.937,0.923,0.888,0.911,0.878,0.871,0.999,0.909,0.88,0.866,0.66,0.684,0.894,0.734,0.901,0.899,0.579,0.771,0.726
ACORDTC_20230216002023030300T.scan,4,96,0.925,0.906,0.848,0.893,0.836,0.85,0.998,0.894,0.853,0.814,0.617,0.63,0.874,0.69,0.856,0.869,0.486,0.684,0.633
ACORDTC_20230216002023030300T.scan,5,120,0.91,0.886,0.819,0.872,0.805,0.835,0.998,0.883,0.832,0.772,0.619,0.615,0.861,0.657,0.819,0.842,0.431,0.598,0.57
ACORDTC_20230216002023030300T.scan,6,144,0.893,0.864,0.782,0.849,0.762,0.832,0.998,0.871,0.815,0.738,0.61,0.598,0.85,0.614,0.784,0.816,0.381,0.514,0.54
ACORDTC_20230216002023030300T.scan,7,168,0.879,0.84,0.749,0.824,0.725,0.817,0.998,0.858,0.797,0.713,0.581,0.57,0.841,0.575,0.752,0.798,0.344,0.428,0.523
ACORDTC_20230216002023030300T.scan,8,192,0.867,0.822,0.712,0.808,0.684,0.784,0.998,0.849,0.786,0.69,0.558,0.537,0.815,0.542,0.705,0.781,0.307,0.36,0.481
ACORDTC_20230216002023030300T.scan,9,216,0.858,0.805,0.684,0.791,0.653,0.751,0.998,0.842,0.774,0.653,0.53,0.504,0.797,0.509,0.653,0.75,0.282,0.302,0.416
ACORDTC_20230216002023030300T.scan,10,240,0.846,0.784,0.65,0.77,0.616,0.701,0.998,0.837,0.766,0.619,0.49,0.469,0.77,0.474,0.61,0.71,0.271,0.225,0.359
ACORDTC_20230216002023030300T.scan,11,264,0.825,0.76,0.621,0.746,0.584,0.668,0.998,0.829,0.752,0.594,0.454,0.427,0.742,0.44,0.562,0.661,0.248,0.173,0.319
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
